,District_Name,Market_Name,Commodity,Variety,Grade,Min_Price,Max_Price,Modal_Price,Price_Date
117,Bangalore,Bangalore,Wheat,Bansi,FAQ,,,,2008-04-27
118,Bangalore,Bangalore,Wheat,Bansi,FAQ,1450.0,1700.0,1575.0,2008-04-28
119,Bangalore,Bangalore,Wheat,Bansi,FAQ,1450.0,1700.0,1575.0,2008-04-29
120,Bangalore,Bangalore,Wheat,Bansi,FAQ,1450.0,1700.0,1575.0,2008-04-30
121,Bangalore,Bangalore,Wheat,Bansi,FAQ,,,,2008-05-01
122,Bangalore,Bangalore,Wheat,Bansi,FAQ,1450.0,1700.0,1575.0,2008-05-02
123,Bangalore,Bangalore,Wheat,Bansi,FAQ,1450.0,1700.0,1575.0,2008-05-03
124,Bangalore,Bangalore,Wheat,Bansi,FAQ,,,,2008-05-04
125,Bangalore,Bangalore,Wheat,Bansi,FAQ,1450.0,1700.0,1575.0,2008-05-05
126,Bangalore,Bangalore,Wheat,Bansi,FAQ,1450.0,1700.0,1575.0,2008-05-06
127,Bangalore,Bangalore,Wheat,Bansi,FAQ,1450.0,1700.0,1575.0,2008-05-07
128,Bangalore,Bangalore,Wheat,Bansi,FAQ,,,,2008-05-08
129,Bangalore,Bangalore,Wheat,Bansi,FAQ,1450.0,1700.0,1575.0,2008-05-09
130,Bangalore,Bangalore,Wheat,Bansi,FAQ,,,,2008-05-10
131,Bangalore,Bangalore,Wheat,Bansi,FAQ,,,,2008-05-11
132,Bangalore,Bangalore,Wheat,Bansi,FAQ,1450.0,1700.0,1575.0,2008-05-12
133,Bangalore,Bangalore,Wheat,Bansi,FAQ,1450.0,1700.0,1575.0,2008-05-13
134,Bangalore,Bangalore,Wheat,Bansi,FAQ,1450.0,1700.0,1575.0,2008-05-14
135,Bangalore,Bangalore,Wheat,Bansi,FAQ,1450.0,1700.0,1575.0,2008-05-15
136,Bangalore,Bangalore,Wheat,Bansi,FAQ,1450.0,1700.0,1575.0,2008-05-16
137,Bangalore,Bangalore,Wheat,Bansi,FAQ,1450.0,1700.0,1575.0,2008-05-17
138,Bangalore,Bangalore,Wheat,Bansi,FAQ,,,,2008-05-18
139,Bangalore,Bangalore,Wheat,Bansi,FAQ,1450.0,1700.0,1575.0,2008-05-19
140,Bangalore,Bangalore,Wheat,Bansi,FAQ,1450.0,1700.0,1575.0,2008-05-20
141,Bangalore,Bangalore,Wheat,Bansi,FAQ,1450.0,1700.0,1575.0,2008-05-21
142,Bangalore,Bangalore,Wheat,Bansi,FAQ,1450.0,1700.0,1575.0,2008-05-22
143,Bangalore,Bangalore,Wheat,Bansi,FAQ,1450.0,1700.0,1575.0,2008-05-23
144,Bangalore,Bangalore,Wheat,Bansi,FAQ,1450.0,1700.0,1575.0,2008-05-24
145,Bangalore,Bangalore,Wheat,Bansi,FAQ,,,,2008-05-25
146,Bangalore,Bangalore,Wheat,Bansi,FAQ,1450.0,1700.0,1575.0,2008-05-26
147,Bangalore,Bangalore,Wheat,Bansi,FAQ,1450.0,1700.0,1575.0,2008-05-27
